This file was produced by the Exoplanet Follow-up Observing Program website (exofop.ipac.caltech.edu) on Sun Jan 25 08:45:47 2026

"TIC ID","TOI","Kepler Name","KOI","KIC ID","Disposition","Imaging Observations","Spectroscopy Observations","Time Series Observations","RA (deg)","Dec (deg)","TESS Mag","Transit Epoch (BJD)","Period (days)","Depth (ppm)","Duration (hours)","Radius (R_Earth)","Eq Temp (K)","Insolation (Earth flux)","Inclination (deg)","Planet Radius/Stellar Radius","Stellar Density (g/cm^3)","Semi-Major Axis (AU)"
"399860444","2140.01","Kepler-1 b","1.01","11446443","CP","10","2","0","286.808526","49.316421","10.854","2454955.763305","2.470613377","14230.900003","1.74319","13.04","1339","761.46","84.41","0.123871","1.83538","0.0354"
"123233041","2177.01","Kepler-8 b","10.01","6922244","CP","4","59","0","281.288134","42.451098","13.1448","2454954.1194228","3.522498429","9145.699997","3.19843","14.59","1521","1264.67","85.2","0.092086","0.65374","0.0473"
"137347078","","Kepler-264 b","1001.01","1871056","CP","5","4","0","292.044628","37.376186","12.5578","2454988.71586","40.8065333","313.900003","13.135","3.71","772","83.75","89.96","0.016213","0.15947","0.2641"
"137347078","","Kepler-264 c","1001.02","1871056","CP","5","4","0","292.044628","37.376186","12.5578","2455049.21749","140.10765","266.800001","18.503","3.42","511","16.17","89.98","0.014948","0.19495","0.601"
"122515955","","Kepler-746 b","1002.01","1865042","CP","8","4","0","290.68221","37.355159","13.0811","2454965.98828","3.4815917","135.200001","1.8069","1.17","1156","421.61","89.71","0.010446","5.1037","0.0435"
"121602473","","Kepler-747 b","1005.01","5780460","CP","1","0","0","288.41652","41.029818","15.1047","2455030.03573","35.61760233","4634.9","8.4559","5.17","456","10.19","89.98","0.060738","0.59321","0.1916"
"137545963","","Kepler-748 b","1007.01","1725016","CP","1","0","0","292.262878","37.236973","14.7048","2455188.49652","7.40742502","441.999999","3.675","2.01","938","183.15","89.89","0.01917","1.33381","0.0745"
"269263934","","Kepler-749 b","1014.01","8125580","CP","0","0","0","299.897334","43.904067","15.1255","2454975.36094","17.31711739","1472.999996","3.1518","2.04","454","10.07","88.8","0.037282","2.21402","0.1054"
"158931258","","Kepler-750 b","1015.01","8158127","CP","1","3","0","289.096827","44.004364","14.0604","2454973.1046","9.42889884","565.400002","4.4481","4.39","1163","432.9","89.96","0.021623","0.9652","0.093"
"158931258","","Kepler-750 c","1015.02","8158127","CP","1","3","0","289.096827","44.004364","14.0604","2454968.76402","4.08897299","157.899997","3.585","2.36","1537","1317.96","87.39","0.011602","0.627","0.0533"
"271259677","","Kepler-751 b","1017.01","8174625","CP","1","1","0","294.84381","44.077687","14.4289","2454974.6802","17.44486016","826.900004","4.445","3.24","679","50.32","86.98","0.030722","0.28137","0.1263"
"137548225","","Kepler-752 b","1022.01","2716853","CP","1","0","0","292.268147","37.955672","15.1781","2455029.19088","18.82744023","1006.200001","4.664","2.7","632","37.82","89.96","0.028791","1.70401","0.1353"
"351056774","","Kepler-753 b","1024.01","2715135","CP","2","1","0","291.903241","37.902368","13.7108","2454966.29939","5.747711909","820.099996","1.8923","1.86","641","40.07","88.33","0.026906","4.41767","0.054"
"137547023","","Kepler-1732 b","1029.01","2164169","CP","1","0","0","292.291013","37.580769","14.2341","2454966.867","32.3122867","677.799997","6.569","4.84","699","56.49","86.72","0.02967","0.07872","0.2015"
"137316027","","Kepler-1710 b","103.01","2444412","CP","5","24","0","291.683288","37.751473","12.0892","2454974.336726","14.91095177","864.499999","3.325","2.62","694","54.87","89.98","0.026641","3.70254","0.1159"
"122781795","","Kepler-1733 b","1030.01","2574338","CP","1","0","0","291.138463","37.859245","14.9313","2454971.43961","9.22961384","492.099998","2.235","2.79","1021","257.11","89.88","0.020371","7.35865","0.0933"
"138036531","","Kepler-754 b","1031.01","2584163","CP","1","0","0","293.254112","37.846152","14.6248","2454968.95038","14.5598556","290.599996","5.624","1.64","758","78.26","89.93","0.015571","0.72319","0.116"
"123309556","","Kepler-94 b","104.01","10318874","CP","6","38","0","281.194732","47.497261","12.1773","2454968.000657","2.508057497","1507.600004","1.1134","3.25","997","234.06","86.61","0.039108","5.95213","0.034"
"268481319","","Kepler-463 b","105.01","8711794","CP","8","4","0","298.936823","44.857864","12.3639","2454969.649307","8.981014925","1059.299997","1.8478","3.14","880","141.77","89.85","0.029697","12.93802","0.078"
"239227652","","Kepler-755 b","1050.01","5809890","CP","7","3","0","296.860935","41.097318","13.425","2454966.343682","1.269091415","340.899996","1.4647","1.41","1331","740.47","86.18","0.016909","2.78725","0.0214"
"239227652","","Kepler-755 c","1050.02","5809890","CP","7","3","0","296.860935","41.097318","13.425","2454966.79678","2.853133997","277.099996","1.465","1.36","1016","251.77","86.37","0.016317","3.11386","0.0367"
"138636741","","Kepler-1734 b","1051.01","6131236","CP","1","0","0","294.163167","41.451732","14.8663","2454971.11324","6.79685353","393.099998","3.1702","2.01","985","222.91","87.32","0.019","0.95531","0.0714"
"122445076","","Kepler-265 c","1052.01","5956342","CP","1","2","0","290.510479","41.244743","14.9117","2454976.33395","17.02902786","568.899999","4.645","2.54","755","76.66","89.59","0.021839","1.44107","0.1243"
"122445076","","Kepler-265 b","1052.02","5956342","CP","1","2","0","290.510479","41.244743","14.9117","2454965.17265","6.84619236","246.800003","3.529","1.67","1022","258.41","89.71","0.014341","1.36207","0.0677"
"122445076","","Kepler-265 e","1052.03","5956342","CP","1","2","0","290.510479","41.244743","14.9117","2454958.881","67.8321638","507.800003","7.358","2.39","476","12.14","89.98","0.02055","1.52524","0.3123"
